0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Adventure,Casual,Indie,Simulation,,,,,,,,,,,,,,,
Action,Adventure,Indie,RPG,,,,,,,,,,,,,,,
Action,Casual,Indie,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,Racing,Simulation,Sports,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Utilities,,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Simulation,,,,,,,,,,,,,,,,,
Casual,Free to Play,Indie,,,,,,,,,,,,,,,,
Indie,,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,RPG,Strategy,,,,,,,,,,,,,,
Adventure,Casual,Indie,RPG,,,,,,,,,,,,,,,
Casual,Indie,Simulation,Sports,Strategy,Early Access,,,,,,,,,,,,,
Action,Casual,Indie,Simulation,Strategy,,,,,,,,,,,,,,
Utilities,Web Publishing,Early Access,,,,,,,,,,,,,,,,
Simulation,,,,,,,,,,,,,,,,,,
RPG,,,,,,,,,,,,,,,,,,
Casual,Free to Play,Indie,Strategy,,,,,,,,,,,,,,,
Action,Adventure,Indie,Simulation,Strategy,,,,,,,,,,,,,,
Action,Indie,RPG,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Casual,Indie,Simulation,Sports,,,,,,,,,,,,,,
RPG,Strategy,,,,,,,,,,,,,,,,,
Casual,Indie,Simulation,Early Access,,,,,,,,,,,,,,,
Adventure,Casual,Indie,RPG,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Indie,Strategy,,,,,,,,,,,,,,,,,
Animation & Modeling,Design & Illustration,Utilities,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Adventure,,,,,,,,,,,,,,,,,,
Casual,Indie,Simulation,,,,,,,,,,,,,,,,
Action,Casual,Indie,Early Access,,,,,,,,,,,,,,,
