Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Apr 3, 2020",20000 - 50000,0,71,0,122,17,"Action,Adventure,Indie"
"Dec 22, 2021",0 - 0,0,0,0,0,0,"Free to Play,Indie,Massively Multiplayer,Strategy"
"Sep 19, 2016",0 - 20000,0,0,0,5,3,Action
"Aug 12, 2021",0 - 20000,0,0,0,3,1,"Adventure,Indie"
"Sep 11, 2020",0 - 20000,0,0,0,2,0,"Action,Casual,Indie,Simulation"
"Dec 17, 2021",0 - 0,0,0,0,0,0,"Action,Adventure,Indie,RPG"
"Sep 21, 2021",0 - 20000,1,0,0,41,0,"Adventure,Casual,Indie,RPG,Early Access"
"Mar 9, 2018",0 - 20000,3,0,0,47,14,"Adventure,Casual,Indie,RPG"
"Sep 19, 2017",50000 - 100000,0,0,0,69,17,"Action,Indie"
"Mar 28, 2022",0 - 0,0,0,0,0,0,"Adventure,Casual,Free to Play,RPG,Strategy"
"Apr 6, 2017",100000 - 200000,4,0,0,2284,157,"Casual,Indie"
"Dec 30, 2018",0 - 20000,0,0,0,2,3,"Adventure,Indie,Simulation,Strategy"
"Feb 4, 2021",50000 - 100000,0,0,0,35,10,"Action,Adventure,Indie"
"Feb 19, 2019",0 - 20000,0,0,0,2,4,"Adventure,Casual,Indie"
"Sep 15, 2014",0 - 20000,0,0,0,2,7,Utilities
"Sep 15, 2017",0 - 20000,0,0,0,3,1,"Action,Casual,Indie,Strategy"
"Jun 13, 2018",0 - 20000,0,0,0,72,23,"Adventure,Casual,Indie,RPG,Simulation"
"Feb 12, 2018",0 - 20000,0,0,0,42,7,"Adventure,Casual,Indie"
"Sep 24, 2020",0 - 20000,0,0,0,49,11,"Action,Indie"
"Mar 2, 2022",0 - 20000,0,0,0,48,2,"Adventure,Casual,Indie"
"Jul 7, 2016",0 - 20000,1,0,0,25,9,"Action,Casual,Indie,Sports"
"Dec 17, 2017",0 - 20000,0,0,0,2,0,"Action,Indie"
"Jul 30, 2020",0 - 20000,0,0,0,5,1,"Action,Adventure,Indie"
"Dec 4, 2018",0 - 20000,0,0,0,9,2,"Casual,Indie,Simulation"
"Mar 1, 2017",0 - 20000,0,0,0,27,1,"Action,Indie"
"Nov 2, 2015",0 - 20000,0,0,0,0,1,"Action,Simulation,Early Access"
"Mar 31, 2021",0 - 20000,0,0,0,6,4,"Adventure,Indie"
"Mar 3, 2020",0 - 20000,0,0,0,27,4,"Action,Adventure,Casual,Indie"
"Dec 19, 2019",0 - 20000,0,0,0,19,13,"Adventure,Casual,Indie"
"Aug 22, 2019",0 - 20000,0,0,0,4,0,"Action,Indie,Strategy,Early Access"
"Sep 22, 2017",0 - 20000,0,0,0,28,27,"Violent,Adventure,Casual,Indie"
"Aug 16, 2016",50000 - 100000,1,0,0,103,129,"Action,Adventure,Indie,Simulation,Early Access"
"Nov 25, 2020",100000 - 200000,8,0,0,776,110,"Adventure,Indie,RPG"
"Sep 27, 2019",0 - 20000,0,0,0,2,1,"Indie,RPG"
"Jan 12, 2021",0 - 20000,0,0,0,9,0,"Action,Casual,Indie"
"Nov 2, 2015",100000 - 200000,9,0,0,1093,614,"Simulation,Sports"
"Jun 26, 2020",0 - 20000,0,0,0,1,0,"Action,Indie"
"Feb 10, 2020",20000 - 50000,1,0,0,358,21,"Casual,Indie,Racing,Simulation,Sports"
"Sep 7, 2018",20000 - 50000,3,0,0,506,46,"Adventure,Indie"
"Jan 31, 2020",0 - 20000,0,0,0,10,12,"Action,Adventure,Casual,Indie,Strategy"
"Jan 6, 2022",0 - 20000,0,0,0,0,0,"Casual,Indie"
"Jan 23, 2018",0 - 20000,0,0,0,0,1,"Casual,Indie,Early Access"
"Jun 20, 2022",50000 - 100000,696,0,0,635,122,"Adventure,Indie,Early Access"
"Feb 29, 2012",100000 - 200000,2,38,0,154,186,Action
"Jun 4, 2021",0 - 20000,0,0,0,1,0,RPG
"Jul 17, 2018",0 - 20000,0,0,0,2,0,"Casual,Indie,Strategy"
"May 28, 2018",0 - 20000,1,0,0,49,36,"Action,Adventure,Indie"
"Oct 4, 2019",0 - 20000,1,0,0,275,16,"Adventure,Indie,RPG"
"Nov 16, 2018",20000 - 50000,15,86,0,233,161,Adventure
"Mar 26, 2022",0 - 20000,0,0,0,0,0,Casual
"Nov 3, 2021",0 - 20000,0,0,0,1,0,"Action,Adventure,Indie"
"Jan 16, 2018",0 - 20000,0,0,0,0,0,"Action,Indie"
"Oct 13, 2016",0 - 20000,5,0,0,373,12,"Adventure,Casual,Indie"
"Mar 29, 2018",0 - 20000,0,0,0,36,8,"Action,Indie,Early Access"
"Nov 14, 2017",20000 - 50000,0,0,0,24,43,"Action,Casual,Indie"
"Jul 7, 2014",50000 - 100000,0,0,0,252,127,"Action,Adventure,Indie"
"Jul 20, 2017",1000000 - 2000000,556,0,0,20253,1605,"Indie,Simulation,Strategy"
"Aug 10, 2015",0 - 20000,0,0,0,20,94,"Action,Adventure,Indie,Simulation"
"Jun 26, 2015",100000 - 200000,1,0,0,170,158,"Action,Adventure,Casual,Indie"
"Jun 5, 2021",0 - 20000,0,0,0,10,2,"Action,Adventure,Indie,Early Access"
